,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
332,2019-06-26,59.138456298683295,52.0005241566997,62.19324573235851,59.138456298683295,59.138456298683295,-2.127608072892293,-2.127608072892293,-2.127608072892293,0.07456471845056947,0.07456471845056947,0.07456471845056947,-2.2021727913428624,-2.2021727913428624,-2.2021727913428624,0.0,0.0,0.0,57.010848225791
333,2019-06-27,59.169288522527445,52.150566714384674,62.01988388572391,59.169288522527445,59.169288522527445,-2.06282520515957,-2.06282520515957,-2.06282520515957,0.10700034567829568,0.10700034567829568,0.10700034567829568,-2.169825550837866,-2.169825550837866,-2.169825550837866,0.0,0.0,0.0,57.106463317367876
334,2019-06-28,59.2001207463716,52.16384031181187,62.22345518040878,59.2001207463716,59.2001207463716,-2.0933583021358477,-2.0933583021358477,-2.0933583021358477,0.036154726196665626,0.036154726196665626,0.036154726196665626,-2.129513028332513,-2.129513028332513,-2.129513028332513,0.0,0.0,0.0,57.106762444235756
335,2019-07-01,59.292617417904054,52.03435992683009,62.26795022013206,59.292617417904054,59.292617417904054,-1.9900813727972282,-1.9900813727972282,-1.9900813727972282,-0.03184287823440983,-0.03184287823440983,-0.03184287823440983,-1.9582384945628184,-1.9582384945628184,-1.9582384945628184,0.0,0.0,0.0,57.30253604510683
336,2019-07-02,59.32344964174821,52.2812656333609,62.227808622845956,59.32344964174821,59.32344964174821,-1.9539262530964134,-1.9539262530964134,-1.9539262530964134,-0.06987296714149219,-0.06987296714149219,-0.06987296714149219,-1.884053285954921,-1.884053285954921,-1.884053285954921,0.0,0.0,0.0,57.3695233886518
337,2019-07-03,59.354281865592355,52.743264171220275,62.510200908908956,59.354281865592355,59.354281865592355,-1.726865212925015,-1.726865212925015,-1.726865212925015,0.0745647184506999,0.0745647184506999,0.0745647184506999,-1.801429931375715,-1.801429931375715,-1.801429931375715,0.0,0.0,0.0,57.62741665266734
338,2019-07-05,59.415946313280664,53.0593456858798,62.99153968780763,59.415946313280664,59.415946313280664,-1.5756973852955385,-1.5756973852955385,-1.5756973852955385,0.03615472619653705,0.03615472619653705,0.03615472619653705,-1.6118521114920756,-1.6118521114920756,-1.6118521114920756,0.0,0.0,0.0,57.84024892798512
339,2019-07-08,59.50844298481311,53.530980785598274,63.225116062828086,59.50844298481311,59.50844298481311,-1.3046906043115902,-1.3046906043115902,-1.3046906043115902,-0.03184287823427592,-0.03184287823427592,-0.03184287823427592,-1.2728477260773141,-1.2728477260773141,-1.2728477260773141,0.0,0.0,0.0,58.20375238050152
340,2019-07-09,59.539275208657266,53.51100936669451,63.52971442560164,59.539275208657266,59.539275208657266,-1.2174040114883733,-1.2174040114883733,-1.2174040114883733,-0.06987296714145831,-0.06987296714145831,-0.06987296714145831,-1.147531044346915,-1.147531044346915,-1.147531044346915,0.0,0.0,0.0,58.32187119716889
341,2019-07-10,59.57010743250142,53.50357598418943,63.653962425074845,59.57010743250142,59.57010743250142,-0.9426509658308514,-0.9426509658308514,-0.9426509658308514,0.0745647184507813,0.0745647184507813,0.0745647184507813,-1.0172156842816327,-1.0172156842816327,-1.0172156842816327,0.0,0.0,0.0,58.62745646667057
