,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-03-01,26.021615903472004,-7.41513063152645,57.17960591551942,26.021615903472004,26.021615903472004,-0.7842047962319977,-0.7842047962319977,-0.7842047962319977,0.490155213555526,0.490155213555526,0.490155213555526,-1.2743600097875236,-1.2743600097875236,-1.2743600097875236,0.0,0.0,0.0,25.237411107240007
1,2018-03-02,25.997821244613963,-10.13238402534577,55.23122804150174,25.997821244613963,25.997821244613963,-3.0439007521637813,-3.0439007521637813,-3.0439007521637813,-0.022976765064409158,-0.022976765064409158,-0.022976765064409158,-3.0209239870993723,-3.0209239870993723,-3.0209239870993723,0.0,0.0,0.0,22.95392049245018
2,2018-03-05,25.926437268039844,-10.953699439836681,53.60853748611429,25.926437268039844,25.926437268039844,-5.536082663710674,-5.536082663710674,-5.536082663710674,1.822890608936539,1.822890608936539,1.822890608936539,-7.358973272647214,-7.358973272647214,-7.358973272647214,0.0,0.0,0.0,20.39035460432917
3,2018-03-06,25.9026426091818,-13.865335872572414,49.78289074101594,25.9026426091818,25.9026426091818,-7.592869444724941,-7.592869444724941,-7.592869444724941,0.8452240310653735,0.8452240310653735,0.8452240310653735,-8.438093475790316,-8.438093475790316,-8.438093475790316,0.0,0.0,0.0,18.30977316445686
4,2018-03-07,25.878847950323763,-10.749511616048895,49.55791041311293,25.878847950323763,25.878847950323763,-8.361476631839587,-8.361476631839587,-8.361476631839587,0.9487468804362174,0.9487468804362174,0.9487468804362174,-9.310223512275803,-9.310223512275803,-9.310223512275803,0.0,0.0,0.0,17.517371318484177
5,2018-03-08,25.855053291465723,-14.378044741013056,47.25689620270717,25.855053291465723,25.855053291465723,-9.477427970405513,-9.477427970405513,-9.477427970405513,0.49015521355999314,0.49015521355999314,0.49015521355999314,-9.967583183965505,-9.967583183965505,-9.967583183965505,0.0,0.0,0.0,16.377625321060208
6,2018-03-09,25.831258632607682,-15.057356554476517,46.80151308820926,25.831258632607682,25.831258632607682,-10.429775809051792,-10.429775809051792,-10.429775809051792,-0.02297676506246298,-0.02297676506246298,-0.02297676506246298,-10.406799043989329,-10.406799043989329,-10.406799043989329,0.0,0.0,0.0,15.40148282355589
7,2018-03-12,25.75987465603356,-15.186417349082083,47.64174537576548,25.75987465603356,25.75987465603356,-8.62387076964011,-8.62387076964011,-8.62387076964011,1.822890608937039,1.822890608937039,1.822890608937039,-10.446761378577147,-10.446761378577147,-10.446761378577147,0.0,0.0,0.0,17.13600388639345
8,2018-03-13,25.736079997175523,-14.825769273846573,49.28672104052375,25.736079997175523,25.736079997175523,-9.219616244966232,-9.219616244966232,-9.219616244966232,0.8452240310670136,0.8452240310670136,0.8452240310670136,-10.064840276033246,-10.064840276033246,-10.064840276033246,0.0,0.0,0.0,16.51646375220929
9,2018-03-14,25.712285338317486,-12.653873803680153,49.55450553838722,25.712285338317486,25.712285338317486,-8.560873160246341,-8.560873160246341,-8.560873160246341,0.9487468804386736,0.9487468804386736,0.9487468804386736,-9.509620040685014,-9.509620040685014,-9.509620040685014,0.0,0.0,0.0,17.151412178071144
